stock_code,close_price,MA120,MA250,price_x1.1,filter_reason
600282,4.34,4.36,4.4,4.77,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
301331,24.0,24.09,24.16,26.4,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
601666,8.97,9.81,10.83,9.87,收盘价*1.1 >= MA120 且 收盘价 <= MA120 且 收盘价 <= MA250
301318,29.21,29.03,29.68,32.13,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA250
600522,13.72,14.65,14.14,15.09,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
300912,11.46,11.5,11.68,12.61,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
000598,7.06,7.27,7.0,7.77,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
688500,29.12,34.24,31.4,32.03,收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
600927,12.47,13.11,12.99,13.72,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
600009,33.33,34.23,34.53,36.66,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
301098,7.8,8.19,8.22,8.58,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
002268,15.92,15.74,16.44,17.51,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA250
688517,13.44,13.45,12.99,14.78,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
688170,21.6,23.04,24.33,23.76,收盘价*1.1 >= MA120 且 收盘价 <= MA120 且 收盘价 <= MA250
002030,5.56,5.88,6.53,6.12,收盘价*1.1 >= MA120 且 收盘价 <= MA120 且 收盘价 <= MA250
603132,11.35,11.51,12.14,12.49,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
003004,23.46,24.56,24.07,25.81,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
002986,11.84,11.49,12.46,13.02,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA250
301611,60.65,,,66.72,
300462,9.14,9.94,9.52,10.05,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
600644,6.11,6.14,6.23,6.72,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
600309,67.74,74.39,77.4,74.51,收盘价*1.1 >= MA120 且 收盘价 <= MA120 且 收盘价 <= MA250
002432,40.09,42.31,41.45,44.1,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
600004,9.35,9.46,9.69,10.29,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
688108,9.38,9.62,10.03,10.32,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
688021,9.77,9.98,10.93,10.75,收盘价*1.1 >= MA120 且 收盘价 <= MA120 且 收盘价 <= MA250
603392,68.61,71.66,69.29,75.47,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
601139,6.54,6.93,6.91,7.19,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
603927,19.98,20.18,19.39,21.98,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
600330,6.81,6.96,7.1,7.49,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
600886,14.57,15.85,15.64,16.03,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
600320,3.77,3.87,3.62,4.15,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
601200,7.73,7.95,7.63,8.5,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
001896,3.97,3.99,4.11,4.37,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
601136,19.88,21.26,20.64,21.87,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
002415,28.46,29.05,30.41,31.31,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
002571,4.08,4.43,4.51,4.49,收盘价*1.1 >= MA120 且 收盘价 <= MA120 且 收盘价 <= MA250
000690,4.12,4.45,4.68,4.53,收盘价*1.1 >= MA120 且 收盘价 <= MA120 且 收盘价 <= MA250
300138,8.26,8.42,9.24,9.09,收盘价*1.1 >= MA120 且 收盘价 <= MA120 且 收盘价 <= MA250
002675,12.57,12.63,13.23,13.83,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
002937,16.83,17.54,19.47,18.51,收盘价*1.1 >= MA120 且 收盘价 <= MA120 且 收盘价 <= MA250
