序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
5405,600482,中国动力,23.89,-1.4,-0.34,215682.0,517858242.0,1.44,24.23,23.88,24.06,24.23,1.09,0.96,54.31,1.4,53818503674.0,53818503674.0,-0.04,0.0,1.53,-2.37
5406,603112,华翔股份,12.64,-1.4,-0.18,26384.0,33379019.0,2.34,12.88,12.58,12.87,12.82,1.05,0.6,13.08,2.01,5948109156.0,5514752583.0,0.0,0.16,4.03,1.12
5407,300777,中简科技,28.78,-1.4,-0.41,87611.0,253018117.0,1.92,29.26,28.7,29.17,29.19,1.07,2.07,41.06,2.98,12654782915.0,12195317324.0,-0.1,-0.17,-6.25,1.73
5408,300222,科大智能,11.87,-1.41,-0.17,654008.0,771630168.68,2.74,11.97,11.64,11.9,12.04,0.74,10.32,229.0,5.53,9238198248.0,7523247652.0,-0.08,-0.08,22.25,19.06
5409,603757,大元泵业,20.19,-1.42,-0.29,19466.0,39376269.0,3.17,20.64,19.99,20.4,20.48,1.61,1.18,12.88,2.17,3326225455.0,3326225455.0,-0.05,0.0,-1.85,0.7
5410,002324,普利特,9.71,-1.42,-0.14,165720.0,161628770.8,2.94,9.95,9.66,9.85,9.85,1.23,2.13,38.79,2.46,10817044596.0,7537639591.0,-0.1,-0.1,7.41,1.89
5411,600012,皖通高速,15.24,-1.42,-0.22,73975.0,113407822.0,2.52,15.57,15.18,15.4,15.46,1.28,0.63,15.53,1.96,25277216400.0,17763744000.0,-0.07,-0.07,6.5,-13.65
5412,600761,安徽合力,17.28,-1.43,-0.25,166480.0,288838184.0,2.57,17.68,17.23,17.6,17.53,1.62,1.87,10.48,1.5,15391170910.0,15391170910.0,-0.06,0.0,-9.48,-2.1
5413,688559,海目星,33.17,-1.43,-0.48,48140.0,159255350.0,2.41,33.51,32.7,33.45,33.65,0.91,2.33,36.64,2.3,8179874582.0,6853074582.0,-0.03,-0.06,-16.47,-3.58
5414,002966,苏州银行,7.6,-1.43,-0.11,725095.0,554086523.74,1.43,7.71,7.6,7.71,7.71,0.98,1.86,5.43,0.67,30244634424.0,29625031108.0,-0.13,0.0,-0.39,-6.29
5415,301383,天键股份,60.08,-1.43,-0.87,95566.0,571678391.82,3.81,61.11,58.79,61.0,60.95,0.94,13.6,43.75,4.86,9785229600.0,4221055580.0,0.03,0.18,74.5,14.11
5416,300328,宜安科技,8.24,-1.44,-0.12,292771.0,242515770.66,2.39,8.4,8.2,8.36,8.36,1.11,4.27,1739.69,5.21,5689090464.0,5655672114.0,-0.12,-0.12,-11.68,11.96
5417,688629,华丰科技,45.8,-1.44,-0.67,261911.0,1234252018.0,9.77,49.54,45.0,48.99,46.47,1.07,14.69,-325.47,14.74,21113471660.0,8167312526.0,-0.26,-0.41,20.3,36.76
5418,002517,恺英网络,15.65,-1.45,-0.23,703929.0,1096806213.13,5.04,16.11,15.31,16.09,15.88,1.03,3.69,19.74,5.56,33686900972.0,29843112125.0,-0.13,-0.38,10.6,14.99
5419,603367,辰欣药业,13.47,-1.46,-0.2,60110.0,80479162.0,1.76,13.47,13.23,13.43,13.67,2.33,1.33,11.49,1.04,6098598118.0,6098598118.0,0.07,0.15,-6.52,-1.97
5420,603995,甬金股份,19.5,-1.47,-0.29,41703.0,81705089.0,2.22,19.91,19.47,19.79,19.79,0.8,1.14,9.16,1.33,7129533918.0,7129533918.0,-0.05,-0.05,-2.21,6.62
5421,605166,聚合顺,11.43,-1.47,-0.17,39883.0,45582846.0,2.41,11.63,11.35,11.6,11.6,0.87,1.26,11.58,1.97,3606988897.0,3606988897.0,0.09,0.09,1.06,-4.51
5422,002811,郑中设计,10.04,-1.47,-0.15,121502.0,122557789.71,2.94,10.26,9.96,10.19,10.19,0.97,4.88,21.69,2.55,2747721799.0,2498195119.0,0.0,0.1,10.94,17.15
5423,301076,新瀚新材,34.73,-1.48,-0.52,104003.0,357618507.27,3.09,34.97,33.88,34.37,35.25,0.79,15.0,83.86,4.11,4672018520.0,2407762308.0,-0.06,0.14,70.66,12.32
5424,605507,国邦医药,20.03,-1.48,-0.3,28385.0,57412188.0,2.02,20.44,20.03,20.33,20.33,1.14,0.94,14.5,1.43,11193234705.0,6043495386.0,-0.2,-0.25,-0.1,-3.84
5425,600079,人福医药,21.35,-1.48,-0.32,192016.0,408911068.0,3.78,21.75,20.93,21.68,21.67,1.28,1.24,16.44,1.95,34848024353.0,32946866740.0,-0.05,-0.14,-2.82,-8.68
5426,601126,四方股份,15.97,-1.48,-0.24,117398.0,188195131.0,1.91,16.26,15.95,16.25,16.21,1.41,1.43,16.39,3.01,13309972920.0,13077093589.0,-0.06,-0.19,-15.5,-5.84
5427,601100,恒立液压,65.15,-1.48,-0.98,115030.0,746995491.0,3.25,66.13,63.98,65.8,66.13,0.72,0.86,36.57,5.8,87354487629.0,87354487629.0,-0.17,-0.23,12.33,23.46
5428,300181,佐力药业,14.62,-1.48,-0.22,172929.0,253695263.97,2.63,14.95,14.56,14.84,14.84,1.53,2.88,18.25,3.94,10254282838.0,8787825580.0,0.14,0.14,-15.39,-4.82
5429,300470,中密控股,35.83,-1.48,-0.54,42454.0,152043876.58,2.64,36.51,35.55,36.36,36.37,1.44,2.15,20.65,2.92,7458776855.0,7077113832.0,0.0,0.03,-4.91,-4.96
5430,601231,环旭电子,15.89,-1.49,-0.24,227023.0,359972808.0,2.42,16.1,15.71,16.03,16.13,1.04,1.04,20.13,2.04,34807942245.0,34807942245.0,0.0,-0.25,2.85,-3.7
5431,300695,兆丰股份,47.58,-1.49,-0.72,9195.0,43912053.0,2.69,48.57,47.27,48.31,48.3,1.96,1.3,27.62,1.33,3374843310.0,3374843310.0,0.23,-0.27,11.4,6.68
5432,002117,东港股份,13.2,-1.49,-0.2,485478.0,640716827.91,3.21,13.49,13.06,13.44,13.4,1.04,9.27,64.63,5.13,6913116606.0,6910921776.0,0.08,0.08,58.08,13.01
5433,603200,上海洗霸,28.37,-1.49,-0.43,81263.0,229843375.0,2.67,28.77,28.0,28.7,28.8,0.66,4.63,77.14,5.19,4978370522.0,4978370522.0,0.0,0.0,26.71,16.89
5434,002953,日丰股份,11.2,-1.5,-0.17,386181.0,428916583.62,3.25,11.36,10.99,11.36,11.37,1.81,14.22,30.48,2.78,5117155109.0,3042340358.0,0.0,0.18,29.48,11.33
5435,300100,双林股份,38.17,-1.5,-0.58,312283.0,1176509392.82,5.19,38.85,36.84,38.31,38.75,0.86,8.07,31.31,6.15,15297362120.0,14774190282.0,-0.03,0.39,64.88,38.1
5436,002126,银轮股份,22.33,-1.5,-0.34,477358.0,1057266937.67,3.31,22.55,21.8,22.49,22.67,1.28,6.09,23.13,3.07,18636632648.0,17507531896.0,-0.18,-0.13,11.71,19.28
5437,688322,奥比中光-UW,59.1,-1.5,-0.9,126887.0,748206017.0,5.58,60.95,57.6,59.0,60.0,0.89,4.94,-294.0,8.05,23640059100.0,15192529680.0,-0.03,0.08,75.89,27.1
5438,605118,力鼎光电,19.65,-1.5,-0.3,93593.0,182177645.0,2.06,19.68,19.27,19.58,19.95,0.91,2.3,51.85,5.56,7999829400.0,7999829400.0,0.0,0.1,16.41,10.33
5439,300654,世纪天鸿,13.09,-1.5,-0.2,532209.0,688498488.69,5.12,13.3,12.62,12.93,13.29,0.76,16.31,114.15,5.69,4791548894.0,4270269856.0,0.08,0.23,25.5,29.73
5440,688223,晶科能源,6.44,-1.53,-0.1,797404.0,512978570.0,2.45,6.55,6.39,6.55,6.54,1.14,0.8,39.78,2.0,64433499528.0,64433499528.0,-0.16,-0.16,-27.15,-9.42
5441,688345,博力威,19.28,-1.53,-0.3,8956.0,17144110.0,4.24,19.65,18.82,19.57,19.58,1.01,0.9,-64.58,1.71,1928000000.0,1928000000.0,-0.31,0.1,-8.8,6.11
5442,000063,中兴通讯,42.25,-1.54,-0.66,2247084.0,9413877110.1,3.96,42.8,41.1,42.8,42.91,0.82,5.58,19.17,2.79,202104348976.0,170156539248.0,-0.02,0.09,32.65,4.58
5443,600933,爱柯迪,18.5,-1.54,-0.29,155763.0,289280142.0,2.82,18.89,18.36,18.85,18.79,0.79,1.59,18.42,2.28,18219818740.0,18081290740.0,0.0,0.0,19.82,13.5
5444,603568,伟明环保,20.4,-1.54,-0.32,51212.0,105236456.0,2.12,20.84,20.4,20.77,20.72,1.17,0.3,12.36,2.77,34774821628.0,34647158428.0,-0.05,-0.1,-4.18,-5.69
5445,688187,时代电气,45.22,-1.55,-0.71,53833.0,243893616.0,2.16,46.1,45.11,45.88,45.93,1.24,1.93,19.07,1.57,63608840159.0,12630932384.0,0.02,0.02,-16.57,-5.63
5446,688433,华曙高科,25.98,-1.55,-0.41,18499.0,48325760.0,3.6,26.65,25.7,26.5,26.39,0.49,0.92,184.25,5.6,10760105424.0,5207613839.0,-0.08,-0.35,26.55,11.31
5447,000400,许继电气,25.31,-1.56,-0.4,193179.0,489243469.07,2.33,25.79,25.19,25.66,25.71,1.18,1.92,21.62,2.33,25787708761.0,25520587021.0,-0.08,-0.04,-18.41,-7.8
5448,600027,华电国际,5.06,-1.56,-0.08,969397.0,491917946.0,2.33,5.16,5.04,5.13,5.14,1.89,1.14,7.53,1.24,51751459333.0,43062257317.0,0.0,0.0,-12.31,-9.8
5449,300428,立中集团,16.93,-1.57,-0.27,71413.0,121164278.36,2.03,17.25,16.9,17.21,17.2,1.33,1.3,16.3,1.54,10722646990.0,9335340420.0,-0.06,0.0,-15.35,3.87
5450,603058,永吉股份,9.39,-1.57,-0.15,98708.0,92501694.0,2.31,9.51,9.29,9.5,9.54,1.0,2.36,23.08,3.41,3944362855.0,3921342331.0,-0.11,-0.21,-6.85,6.46
5451,601919,中远海控,14.37,-1.58,-0.23,906674.0,1306943426.0,1.23,14.54,14.36,14.54,14.6,1.12,0.71,4.51,1.03,229357079463.0,183376240863.0,0.0,0.0,-4.77,-7.29
5452,603055,台华新材,10.61,-1.58,-0.17,64897.0,68994470.0,2.13,10.81,10.58,10.78,10.78,1.33,0.73,11.45,1.95,9446004200.0,9394651800.0,-0.19,0.0,-8.38,-4.24
5453,000811,冰轮环境,11.83,-1.58,-0.19,236997.0,280453594.12,2.83,12.05,11.71,12.01,12.02,0.91,3.18,14.29,1.55,9033007121.0,8823151013.0,0.0,0.17,4.6,-2.71
