序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2440,002592,ST八菱,5.22,1.16,0.06,52301.0,27098054.25,2.91,5.25,5.1,5.1,5.16,1.07,1.99,21.69,1.64,1478988640.0,1371379451.0,0.19,0.19,11.06,8.52
2441,002174,游族网络,9.57,1.16,0.11,340263.0,326153752.26,3.28,9.73,9.42,9.45,9.46,1.39,3.72,1269.6,1.97,8765374229.0,8759740131.0,0.0,0.21,-11.55,2.35
2442,600168,武汉控股,4.36,1.16,0.05,88894.0,38692372.0,1.86,4.38,4.3,4.32,4.31,1.64,0.89,44.7,0.82,4331213401.0,4331213401.0,0.0,0.0,-10.1,-1.58
2443,688580,伟思医疗,28.79,1.16,0.33,11089.0,32129060.0,3.06,29.34,28.47,29.0,28.46,1.94,1.16,26.46,1.71,2757255382.0,2757255382.0,0.24,0.28,-4.03,3.15
2444,002108,沧州明珠,3.49,1.16,0.04,233451.0,81350850.55,2.32,3.52,3.44,3.45,3.45,1.52,1.42,31.5,1.14,5812227322.0,5752789334.0,0.29,0.0,-4.12,-2.79
2445,002164,宁波东力,6.11,1.16,0.07,658194.0,399871517.27,3.81,6.19,5.96,6.01,6.04,1.29,13.72,57.08,2.37,3251581240.0,2931426582.0,-0.16,0.0,16.6,21.96
2446,688306,均普智能,10.48,1.16,0.12,528666.0,555364810.0,5.69,10.77,10.18,10.32,10.36,1.06,11.29,-197.97,7.43,12872403744.0,4906555744.0,0.0,0.19,63.24,35.23
2447,600828,茂业商业,3.5,1.16,0.04,159686.0,55926128.0,4.05,3.55,3.41,3.46,3.46,1.02,0.92,29.54,0.85,6061938911.0,6059760634.0,-0.28,0.0,9.72,-19.91
2448,300449,汉邦高科,8.75,1.16,0.1,107283.0,95437394.4,5.43,9.08,8.61,8.65,8.65,1.17,3.62,-99.55,8.55,3390452704.0,2592341491.0,0.11,0.11,15.74,11.46
2449,600386,北巴传媒,4.38,1.15,0.05,153093.0,67476410.0,3.23,4.46,4.32,4.32,4.33,1.27,1.9,105.84,1.98,3532032000.0,3532032000.0,0.0,-0.23,0.69,-2.01
2450,688607,康众医疗,14.9,1.15,0.17,16160.0,24129050.0,3.6,15.26,14.73,14.73,14.73,1.28,1.83,78.25,1.54,1313122502.0,1313122502.0,0.0,0.13,2.76,12.45
2451,603421,鼎信通讯,7.02,1.15,0.08,188497.0,131981084.0,2.88,7.1,6.9,7.0,6.94,1.06,2.89,-120.75,1.37,4578377387.0,4578377387.0,0.0,0.29,10.9,-1.54
2452,688663,新风光,22.82,1.15,0.26,19736.0,44977502.0,2.04,22.98,22.52,22.57,22.56,1.27,1.41,20.09,2.39,3193659000.0,3193659000.0,0.0,0.35,-1.93,5.11
2453,300984,金沃股份,62.32,1.15,0.71,44279.0,278174182.31,8.73,65.58,60.2,61.0,61.61,1.04,7.7,193.11,5.67,5499677805.0,3582490003.0,0.05,0.39,133.06,55.02
2454,600133,东湖高新,9.66,1.15,0.11,316359.0,305762524.0,3.25,9.8,9.49,9.51,9.55,1.18,2.97,35.35,1.21,10299877193.0,10299877193.0,0.21,0.21,-27.2,3.32
2455,600249,两面针,5.27,1.15,0.06,123711.0,65227323.0,2.69,5.32,5.18,5.2,5.21,1.42,2.25,25.87,1.33,2898500000.0,2898500000.0,0.0,0.19,3.74,3.54
2456,300747,锐科激光,19.33,1.15,0.22,94543.0,182377029.12,2.72,19.56,19.04,19.09,19.11,1.39,1.86,68.23,3.32,10918005935.0,9844259500.0,-0.1,0.05,-22.62,0.89
